FINAL BREAKTHROUGH RANKING FOR 0.84+
====================================================================================================

Rank | Filename | Threshold | Pos Rate | Distance from Ideal
  72 | BT_4ce_t0511.csv                         |   0.51100 |   0.7466 | 0.00840 ★
  73 | BT_4ce_t0512.csv                         |   0.51200 |   0.7466 | 0.00840 ★
  74 | BT_cur_t0494.csv                         |   0.49400 |   0.7466 | 0.00840 ★
  75 | BT_blend70_t0513055.csv                  |   0.51306 |   0.7466 | 0.00840 ★
  76 | BT_4ce_t048.csv                          |   0.48000 |   0.7641 | 0.00908 ★
  77 | BT_blend55_t0491888.csv                  |   0.49189 |   0.7641 | 0.00908 ★
  78 | BT_blend60_t0492137.csv                  |   0.49214 |   0.7641 | 0.00908 ★
  79 | BT_blend70_t0487055.csv                  |   0.48706 |   0.7641 | 0.00908 ★
  80 | BT_4ce_t0513.csv                         |   0.51300 |   0.7456 | 0.00937 ★
  81 | BT_4ce_t0514.csv                         |   0.51400 |   0.7456 | 0.00937 ★
  82 | BT_4ce_t0515.csv                         |   0.51500 |   0.7456 | 0.00937 ★
  83 | BT_cur_t0496.csv                         |   0.49600 |   0.7456 | 0.00937 ★
  84 | BT_blend60_t0508137.csv                  |   0.50814 |   0.7456 | 0.00937 ★
  85 | BT_blend65_t0510286.csv                  |   0.51029 |   0.7456 | 0.00937 ★
  86 | BT_4ce_t0479000.csv                      |   0.47900 |   0.7650 | 0.01005 ★
  87 | BT_cur_t0482.csv                         |   0.48200 |   0.7650 | 0.01005 ★
  88 | BT_blend55_t0507888.csv                  |   0.50789 |   0.7447 | 0.01034 ★
  89 | BT_blend60_t0510137.csv                  |   0.51014 |   0.7447 | 0.01034 ★
  90 | BT_blend60_t0512137.csv                  |   0.51214 |   0.7447 | 0.01034 ★
  91 | BT_4ce_t0476000.csv                      |   0.47600 |   0.7660 | 0.01102 ★
  92 | BT_4ce_t0477000.csv                      |   0.47700 |   0.7660 | 0.01102 ★
  93 | BT_4ce_t0478000.csv                      |   0.47800 |   0.7660 | 0.01102 ★
  94 | BT_cur_t048.csv                          |   0.48000 |   0.7660 | 0.01102 ★
  95 | BT_blend65_t0488286.csv                  |   0.48829 |   0.7660 | 0.01102 ★
  96 | BT_4ce_t0516.csv                         |   0.51600 |   0.7437 | 0.01131 ★
  97 | BT_4ce_t0517.csv                         |   0.51700 |   0.7437 | 0.01131 ★
  98 | BT_4ce_t0518.csv                         |   0.51800 |   0.7437 | 0.01131 ★
  99 | BT_cur_t0498.csv                         |   0.49800 |   0.7437 | 0.01131 ★
 100 | BT_blend55_t0509888.csv                  |   0.50989 |   0.7437 | 0.01131 ★
 101 | BT_blend60_t0488137.csv                  |   0.48814 |   0.7670 | 0.01199 ★
 102 | BT_blend60_t0490137.csv                  |   0.49014 |   0.7670 | 0.01199 ★
 103 | BT_blend60_t0514137.csv                  |   0.51414 |   0.7427 | 0.01228 ★
 104 | BT_blend65_t0512286.csv                  |   0.51229 |   0.7427 | 0.01228 ★
 105 | BT_blend65_t0514286.csv                  |   0.51429 |   0.7427 | 0.01228 ★
 106 | BT_blend65_t0516286.csv                  |   0.51629 |   0.7427 | 0.01228 ★
 107 | BT_blend70_t0515055.csv                  |   0.51506 |   0.7427 | 0.01228 ★
 108 | BT_4ce_t0475000.csv                      |   0.47500 |   0.7680 | 0.01296 ★
 109 | BT_blend55_t0489888.csv                  |   0.48989 |   0.7680 | 0.01296 ★
 110 | BT_blend60_t0486137.csv                  |   0.48614 |   0.7680 | 0.01296 ★
 111 | BT_blend65_t0484286.csv                  |   0.48429 |   0.7680 | 0.01296 ★
 112 | BT_blend65_t0486286.csv                  |   0.48629 |   0.7680 | 0.01296 ★
 113 | BT_blend70_t0485055.csv                  |   0.48506 |   0.7680 | 0.01296 ★
 114 | BT_4ce_t0519.csv                         |   0.51900 |   0.7417 | 0.01325 ★
 115 | BT_4ce_t052.csv                          |   0.52000 |   0.7417 | 0.01325 ★
 116 | BT_blend55_t0511888.csv                  |   0.51189 |   0.7417 | 0.01325 ★
 117 | BT_blend55_t0487888.csv                  |   0.48789 |   0.7689 | 0.01393 ★
 118 | BT_blend60_t0482137.csv                  |   0.48214 |   0.7689 | 0.01393 ★
 119 | BT_blend60_t0484137.csv                  |   0.48414 |   0.7689 | 0.01393 ★
 120 | BT_blend70_t0483055.csv                  |   0.48306 |   0.7689 | 0.01393 ★
 121 | BT_4ce_t0521.csv                         |   0.52100 |   0.7408 | 0.01422 ★
 122 | BT_blend55_t0513888.csv                  |   0.51389 |   0.7408 | 0.01422 ★
 123 | BT_blend60_t0516137.csv                  |   0.51614 |   0.7408 | 0.01422 ★
 124 | BT_blend70_t0517055.csv                  |   0.51706 |   0.7408 | 0.01422 ★
 125 | BT_blend70_t0519055.csv                  |   0.51906 |   0.7408 | 0.01422 ★
 126 | BT_4ce_t0474000.csv                      |   0.47400 |   0.7699 | 0.01490 ★
 127 | BT_blend55_t0479888.csv                  |   0.47989 |   0.7699 | 0.01490 ★
 128 | BT_blend55_t0481888.csv                  |   0.48189 |   0.7699 | 0.01490 ★
 129 | BT_blend55_t0483888.csv                  |   0.48389 |   0.7699 | 0.01490 ★
 130 | BT_blend55_t0485888.csv                  |   0.48589 |   0.7699 | 0.01490 ★
