iter	Logloss
0	0.6786865682
1	0.6641292735
2	0.6502002907
3	0.6376397176
4	0.6249912062
5	0.6135611249
6	0.6022741669
7	0.5911227309
8	0.5793397412
9	0.5699258322
10	0.5601637844
11	0.5509619707
12	0.5423449469
13	0.5348032298
14	0.5274070954
15	0.5200857831
16	0.5131164476
17	0.5062813299
18	0.500263815
19	0.4920283167
20	0.4863928118
21	0.4809132857
22	0.4758912251
23	0.4703671335
24	0.4652690585
25	0.460341308
26	0.4559301579
27	0.4510714912
28	0.4466284821
29	0.4428799248
30	0.4383378733
31	0.4345741877
32	0.4291662046
33	0.4253943214
34	0.421711867
35	0.4182544378
36	0.4137313899
37	0.4100590707
38	0.4062410944
39	0.4036936032
40	0.4004011701
41	0.3963179629
42	0.3934646625
43	0.3902505914
44	0.387592991
45	0.3839024508
46	0.3807539235
47	0.3781597804
48	0.3756213066
49	0.3732698508
50	0.3709321074
51	0.3682346367
52	0.3647090926
53	0.3618106306
54	0.3596417214
55	0.3578525492
56	0.3549225636
57	0.3527615539
58	0.3507800353
59	0.3478029505
60	0.3451089451
61	0.3421063732
62	0.3400433998
63	0.3381904351
64	0.3364664714
65	0.3349945106
66	0.3334649427
67	0.331584106
68	0.3299424168
69	0.3278315617
70	0.3260328132
71	0.324152051
72	0.3226276626
73	0.3207792811
74	0.3186666375
75	0.3171722077
76	0.3152738206
77	0.3135773935
78	0.3120147183
79	0.3103719299
80	0.3091618278
81	0.3076976175
82	0.306317992
83	0.3043346661
84	0.3028249217
85	0.3012963226
86	0.2994527852
87	0.2972517561
88	0.2951408079
89	0.2937059041
90	0.2924320654
91	0.2909498576
92	0.28944628
93	0.2885671949
94	0.2870197226
95	0.2855070717
96	0.2839653565
97	0.2827122354
98	0.2809100588
99	0.279462132
100	0.2784505991
101	0.2773969601
102	0.2758848309
103	0.2748883705
104	0.2741039495
105	0.2731159476
106	0.2716863164
107	0.2709369217
108	0.2700448321
109	0.2687795637
110	0.2675322927
111	0.2667526226
112	0.2654161838
113	0.2643222832
114	0.2634956257
115	0.262511853
116	0.2612668737
117	0.2601233216
118	0.2594072018
119	0.2585673722
120	0.2576584962
121	0.2563090156
122	0.2549684033
123	0.2544259059
124	0.2528886434
125	0.251887283
126	0.2509639307
127	0.2502236465
128	0.24927354
129	0.2485385098
130	0.2470940857
131	0.2461578034
132	0.2454785544
133	0.2445868561
134	0.2436344766
135	0.2430173247
136	0.2421080947
137	0.2409856514
138	0.2397951305
139	0.2384363158
140	0.2370333456
141	0.2364118713
142	0.2354087224
143	0.2338606726
144	0.2332414154
145	0.2322058672
146	0.2315153651
147	0.2304956904
148	0.2299722897
149	0.2291286222
150	0.2279349154
151	0.2272042262
152	0.2261603685
153	0.2254449754
154	0.2245698028
155	0.2240401607
156	0.2227763641
157	0.2213624016
158	0.2208390568
159	0.2199796646
160	0.2192409641
161	0.2183932909
162	0.2175446488
163	0.2166016408
164	0.2157248473
165	0.2146010999
166	0.2135300037
167	0.213057801
168	0.2120926965
169	0.2111291757
170	0.2101396088
171	0.2095223079
172	0.2083683596
173	0.2078011761
174	0.2066885514
175	0.2060042348
176	0.2054295057
177	0.2047904624
178	0.2041718014
179	0.2035995688
180	0.2025362604
181	0.2017729111
182	0.2011939341
183	0.2006887173
184	0.1999173193
185	0.1992236313
186	0.1984997052
187	0.1980479407
188	0.197278145
189	0.1963782864
190	0.1958607731
191	0.195317903
192	0.1944604112
193	0.1939006056
194	0.1930810651
195	0.192538195
196	0.1918608091
197	0.1910796299
198	0.190536145
